id,cat.number,cat.age,bw,pure.mixed,breed,pedigree,hair.length,sex,neuter.status,neutering.age,cat.source,council.registered,insured,last.flea.tx,bcs.owner,bcs.owner.fig,bcs.vet,bw.monitoring,feeding.frq,feeding.frq.bi,leftover,frq.dry,frq.canned,frq.wet,frq.homemade,frq.humanfood,frq.snack,fre.major,fre.major.cat,quant.no.rule,quant.vet,quant.package,quant.cat.eats,quant.more.than.cat,quant.cat.bw,quant.cat.bcs,quant.experience,quant.breeder.carer,quant.web,neighbour.food,beg.food,give.in.beg,indoor,yard,street,hunt.old,hunt.new,hunt.bi,prey.bird,prey.l.mammal,prey.s.mammal,prey.insect,prey.lizard.frog,prey,night,rt.cubby.cute,rt.fat.cute,rt.chubby.happy,rt.fat.happy,rt.chubby.dz,rt.fat.dz,rt.chubby.fine,rt.fat.fine,rt.happy.than.fit,rt.chubby.unhealth,rt.fat.unhealth,rt.control.bw,rt.chubby.qol,rt.fat.qol,purpose.for.getting.cat,benefit.human.wp,benefit.human.wop,benefit.aniaml.wp,benefit.aniaml.wop,benefit.pest.wp,benefit.pest.wop,benefit.show.wp,benefit.show.wop,benefit.mental,benefit.none,benefit.other,benefit.sum,frq.patting,frq.play,frq.same.space,time.w.cat,satisfication,closeness,vet.health.check,vet.shot,vet.sick,vet.chronic.ill,vet.deworm.flea,vet.none.ill,vet.boarding,vet.sum,gender,live.in.aus,live.in.aus.bi,urban.rural,state,home.type,age.range,household,education,prof.no.aniaml,prof.vet,prof.ngo,prof.pet,prof.livestocks,prof.wildlife,prof.captive.wild,prof.other,prof.cat,q.source
90,5,3,5,2,British Shorthair,2,1,2,2,2,breeder,2,2,1,2,2,3,2,4,1,2,1,2,2,1,1,1,pan,pan,0,0,0,1,0,0,0,0,0,0,1,2,4,4,1,1,1,1,1,0,0,0,0,0,nh,1,1,2,1,2,-1,-2,2,0,sa,0,0,-1.5,1,0,companion.h,1,0,0,0,0,0,0,0,0,0,0,0,4,4,3,11,5,5,1,1,1,2,2,2,1,10,1,2,2,1,3,3,5,p.w.i.c,2,0,0,0,0,0,0,0,0,0,social.m
91,1,0.75,1.5,1,Mixed,1,1,2,2,1,shelter,1,1,2,3,2,3,2,5,2,2,3,1,2,1,1,2,dry,dry,0,1,1,0,0,1,0,0,0,0,1,1,1,3,2,2,2,2,2,0,0,0,1,0,s,2,-2,-2,-1,-2,1,2,-1,-2,d,0,-2,-1.5,-1,-2,no.specic,1,1,0,0,0,0,0,0,0,0,0,1,3,3,3,9,4,4,2,1,0,0,0,0,0,3,2,2,2,1,4,3,2,c.wo.d.c,3,0,0,0,0,0,0,0,0,0,social.m
92,5,3,8,1,Mixed,1,1,2,2,2,vet,1,1,1,3,3,0,2,3,1,3,3,2,2,1,2,2,dry,dry,1,0,0,0,0,0,0,0,0,0,1,2,3,4,1,1,1,1,1,0,0,0,0,0,nh,1,0,0,0,0,-1,-2,0,-2,n,-1,-2,-1.5,-1,-2,companion.h,1,0,1,1,0,0,0,0,0,0,0,1,3,2,3,8,4,4,2,1,0,0,0,0,0,3,1,2,2,1,4,3,3,c.w.d.c,2,0,0,0,0,0,0,0,0,0,social.m
93,1,2,NA,1,Mixed,1,1,1,2,4,shelter,2,1,1,3,4,0,1,2,1,2,2,2,2,,,,dry.can.wet,dry.wet,0,0,0,1,0,1,0,0,0,0,1,1,2,4,,,1,1,1,0,0,0,0,0,nh,1,0,2,0,-2,0,2,-1,0,d,1,,-3,0,-2,companion.h,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,4,4,2,0,1,0,0,0,0,3,1,2,2,2,1,3,4,c.w.d.c,1,0,0,0,0,0,0,0,0,0,social.m
94,6,10,4,1,Mixed,1,3,1,2,0,friend,2,1,3,3,3,3,2,5,2,1,3,2,2,2,1,1,dry,dry,0,0,0,1,0,0,0,0,0,0,1,2,3,4,1,1,1,1,1,0,0,0,0,0,nh,1,0,0,-1,-2,0,0,-1,-4,n,0,-2,-1.5,-1,-4,rescue,1,1,1,1,0,0,0,0,0,0,0,2,3,2,3,8,4,4,2,0,1,0,0,0,0,3,1,2,2,1,1,3,5,s.ps,3,0,0,0,0,0,0,0,0,0,social.m
95,1,3,5,1,Mixed,1,2,1,2,3,shelter,2,2,3,4,4,4,2,2,1,2,3,,3,,,,dry.wet,dry.wet,1,0,0,0,0,0,0,0,0,0,1,4,3,4,,,1,1,1,0,0,0,0,0,nh,1,-1,-2,0,-2,1,-2,0,0,a,1,,-1.5,0,2,companion.h,1,0,0,0,1,1,0,0,0,0,0,1,4,3,4,11,5,5,0,1,0,0,0,2,0,3,1,2,2,2,1,1,4,s.ps,3,1,1,0,0,0,0,0,0,1,usyd
96,1,18,NA,2,Burmese,1,1,1,2,2,breeder,1,1,2,3,3,0,1,2,1,3,2,,3,1,1,1,wet,wet,0,0,0,1,0,0,1,0,0,0,1,2,2,4,2,1,2,2,2,0,0,0,1,0,s,1,0,0,0,0,-1,0,0,0,n,0,0,1.5,-1,0,companion.h,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,8,5,5,0,0,1,2,0,0,0,3,1,2,2,2,1,2,2,w.p,5,0,0,0,0,0,0,0,0,0,social.m
97,13,7,12,2,Maine Coon Cat,2,2,2,2,5,mycat,2,1,1,5,5,0,4,1,1,1,3,2,3,2,1,1,dry.wet,dry.wet,0,0,0,0,0,0,1,0,0,0,1,1,1,4,3,1,1,1,1,0,0,0,0,0,nh,1,-1,-2,-1,-2,-1,-4,-2,-2,d,,2,-3,-1,-4,show.cat,1,1,0,0,0,0,1,0,0,0,0,1,4,3,3,10,5,5,1,1,1,1,2,2,2,10,1,2,2,2,4,3,4,s.ps,3,1,0,0,1,0,0,0,0,1,social.m
98,4,14,5,1,Mixed,1,1,1,2,2,street,2,1,1,3,3,3,2,2,1,2,3,2,2,,,,dry,dry,0,1,1,0,0,1,1,0,0,0,1,2,2,3,3,1,1,1,1,0,0,0,0,0,nh,1,-2,-4,-1,-2,-1,-2,-2,-4,d,-2,-2,-1.5,-2,-4,companion.h,1,0,1,1,0,0,0,0,0,0,0,1,4,3,4,11,5,5,2,0,1,0,0,0,0,3,1,2,2,2,1,3,4,c.w.d.c,3,0,0,0,0,0,0,0,0,0,NGO
99,2,5,4,1,Mixed,1,3,2,2,0,shelter,2,1,4,3,3,3,1,2,1,2,3,3,,,,2,dry.can,dry.wet,0,0,0,1,0,0,0,0,0,0,2,2,2,3,3,1,2,2,2,0,0,0,0,0,nh,4,0,-2,0,0,1,0,0,-2,n,0,-2,-1.5,-1,-2,companion.h,1,0,1,1,0,0,0,0,0,0,0,1,3,3,3,9,5,4,1,0,1,0,0,0,0,2,1,2,2,2,1,2,5,s.ps,5,0,0,0,0,0,0,0,0,0,flyer
100,3,0.75,4,1,Mixed,1,2,1,2,2,web,2,1,1,3,3,3,3,3,1,2,3,3,3,1,2,2,dry.can.wet,dry.wet,0,0,1,0,0,0,0,0,0,0,1,1,2,3,3,1,5,5,2,0,0,0,1,0,s,1,-1,-2,-1,-2,1,2,-1,-2,d,-1,-2,-1.5,-1,-2,companion.h,1,0,1,1,0,0,0,0,0,0,0,1,4,4,4,12,4,4,0,1,2,0,0,0,0,3,1,2,2,2,1,2,3,c.w.d.c,2,0,0,0,0,0,0,0,0,0,social.m
101,2,4,6,1,Mixed,1,2,2,2,1,shelter,2,1,1,4,4,4,3,2,1,2,2,3,2,1,1,1,can,wet,0,1,1,0,0,0,0,0,0,0,2,3,2,3,3,2,3,3,2,0,0,0,1,0,s,2,1,2,1,2,-1,-4,1,0,sd,1,2,-3,0,0,companion.h,1,0,1,1,0,0,0,0,0,0,1,2,2,2,3,7,5,4,2,0,1,0,0,0,0,3,1,2,2,2,1,2,3,c.wo.d.c,5,1,1,0,0,0,0,0,0,1,usyd
102,2,1,4,1,Mixed,1,1,1,2,1,shelter,2,1,1,3,3,3,1,4,1,1,3,,,,,2,dry,dry,0,0,1,0,0,0,0,0,0,0,4,4,2,3,2,2,0,6,2,0,0,0,0,1,s,1,0,0,0,0,1,0,0,-2,a,1,0,0,1,0,companion.h,1,0,1,1,0,0,0,0,0,0,0,1,3,2,3,8,5,5,1,1,1,1,1,1,1,7,1,2,2,2,1,3,4,p.w.d.c,2,0,0,0,0,0,0,0,0,0,social.m
103,3,7,4.2,1,Mixed,1,1,2,2,2,shelter,1,1,1,3,0,0,1,3,1,1,3,1,2,1,2,2,dry,dry,0,0,1,0,0,1,1,0,0,0,1,2,3,3,2,1,3,3,2,1,0,0,0,0,l,2,-2,-4,-2,-4,1,2,-2,-4,sd,-1,-4,-1.5,-1,-4,companion.h,1,0,1,1,0,0,0,0,0,0,0,1,3,2,3,8,5,5,0,2,1,0,0,0,0,3,1,2,2,1,1,3,4,p.w.d.c,5,1,1,0,0,0,0,0,0,1,social.m
104,1,7,4,1,Mixed,1,1,1,2,4,shelter,1,1,0,3,4,0,2,5,2,4,4,1,1,1,1,1,dry,dry,0,1,0,0,0,0,0,0,0,0,1,1,1,3,3,1,2,2,2,0,0,0,1,1,s,1,0,-2,-1,0,0,2,-1,-2,a,0,0,-1.5,-1,0,companion.h,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,11,5,5,2,1,0,0,0,0,0,3,1,2,2,1,8,1,4,s.ps,3,0,0,0,0,0,0,0,0,0,social.m
105,2,14,8,1,Mixed,1,1,2,2,2,friend,2,1,2,5,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
